crop,N,temperature,humidity,rainfall,Area(hectares),yield(t/ha)
chickpea,22.72,21.89,68.41,176.31,3309.6,13.669240995890744
cotton,27.75,34.66,31.71,395.54,4987.66,16.640280211562136
cotton,48.92,24.81,77.88,125.66,1188.66,16.025103898507563
grapes,33.87,16.39,35.12,67.23,2943.02,10.023268615231972
rice,87.99,34.57,72.9,158.2,4514.23,10.014441001012354
cotton,60.02,25.0,94.41,76.02,3476.52,14.106045700873286
jute,75.04,26.28,93.66,420.97,695.86,17.174172965826457
muskmelon,141.98,23.66,35.57,472.22,4040.34,18.773246805961875
chickpea,55.68,36.05,74.1,198.84,4802.93,12.182580216659414
watermelon,73.65,39.15,75.71,428.25,101.58,9.306753297893286
lentil,139.47,32.33,92.11,228.88,1471.98,13.404923979945378
mango,46.34,17.72,80.91,336.73,4460.5,12.883318013675597
rice,135.6,27.8,46.34,403.51,3451.1,17.145588363130596
orange,107.87,28.2,52.26,176.81,3189.72,11.45133742146646
grapes,89.2,10.36,92.99,226.3,1369.23,10.330674904873542
coconut,41.54,18.93,87.17,374.55,1926.4,14.722041112956813
jute,21.12,32.36,78.88,328.61,1365.37,13.056043416802774
cotton,33.07,11.37,42.16,72.62,867.55,6.428517088352257
rice,131.82,22.51,42.45,107.75,3913.09,12.848347469646749
rice,24.32,26.91,92.58,281.29,517.08,14.692910187978647
muskmelon,109.57,28.8,60.76,152.04,2590.09,11.815987089251724
maize,88.86,38.92,49.5,457.44,3621.84,13.0575094427142
jute,142.12,19.06,70.37,245.31,3537.39,11.74424081031495
mango,52.15,23.55,91.59,130.08,4599.16,11.50887770810322
muskmelon,126.67,29.35,73.3,280.05,4087.37,13.510433359348433
banana,115.05,26.07,88.54,381.17,674.01,17.197103900535602
chickpea,144.47,10.35,82.38,198.48,1512.05,8.684706193578254
mango,29.69,31.76,31.07,257.87,4000.19,14.053504958514472
orange,107.83,26.08,54.07,363.94,167.94,15.556567821841137
maize,148.68,21.79,93.16,259.28,699.66,11.184846925649602
banana,93.38,12.64,62.83,176.53,3160.01,10.799924683782644
cotton,94.75,37.78,50.02,112.23,3561.56,5.795620458450792
lentil,112.41,12.95,64.88,372.57,4958.4,14.917017586318169
maize,93.0,33.11,67.86,459.98,4571.4,17.43665397908737
jute,98.63,36.94,34.38,468.61,75.73,15.126766142876006
coconut,108.83,16.93,63.44,278.58,1489.05,13.110392532151373
grapes,87.4,20.06,87.51,109.78,3961.9,11.70136298240743
banana,51.62,15.41,66.11,221.14,126.19,10.70615738172597
maize,30.78,15.2,47.73,284.87,4673.02,15.082867182250448
lentil,146.05,19.48,44.53,407.26,864.94,14.590329965084283
orange,91.65,13.26,91.42,386.68,3291.43,13.41229799813455
muskmelon,124.29,23.73,60.43,107.32,3222.05,13.91009450505113
mango,57.26,22.78,76.98,445.92,2800.54,16.862912152656275
chickpea,69.67,20.81,46.6,70.27,1330.91,13.801466665664844
grapes,21.57,13.79,57.64,56.34,3488.63,6.282168071707232
orange,90.25,29.75,31.68,325.98,913.25,12.381067615658363
coconut,58.7,14.14,31.47,181.41,4423.77,9.184218438119522
maize,119.41,32.94,66.03,253.15,1977.43,10.339835038408438
watermelon,146.96,24.27,86.04,65.69,2605.28,15.20232374255358
apple,40.73,26.92,50.79,250.23,3992.19,16.569612167757544
jute,121.57,15.98,52.46,481.98,2548.66,13.292796999207429
rice,142.18,36.58,86.35,282.51,1171.42,10.265822676751291
lentil,148.0,39.87,48.84,445.67,1321.11,14.865590299066696
grapes,28.93,27.85,30.56,418.0,1694.31,18.12549651480544
chickpea,95.17,13.49,80.57,467.24,4255.37,15.747293419843633
orange,106.78,23.26,77.07,144.82,2388.56,14.589082962119438
mango,75.6,37.41,53.17,338.22,3325.94,12.138306764403444
apple,121.39,15.52,78.47,155.18,453.08,8.432042906330008
mango,93.38,28.34,49.14,462.1,2080.53,17.740234459488686
apple,77.73,23.97,88.95,442.29,4491.88,18.07505988583845
banana,37.21,33.57,54.28,448.3,1762.43,14.618850110358991
muskmelon,145.36,14.74,58.02,343.64,3110.59,13.03091374948161
chickpea,45.2,25.51,67.15,192.6,999.83,14.087464869027734
jute,107.99,34.03,78.96,373.0,1942.67,14.27648030802967
coconut,63.66,37.28,52.75,280.93,1684.14,11.737076490078024
muskmelon,116.38,32.71,90.62,122.78,4291.96,11.157548066617585
banana,109.05,13.33,90.77,122.62,3906.61,4.3617663396141415
mango,33.62,25.05,88.23,475.55,3307.57,20.03119813034947
muskmelon,115.03,11.21,53.05,263.3,820.25,15.168936299908564
cotton,94.33,34.74,56.73,311.63,1092.66,12.464407958559844
mango,78.39,39.23,71.01,296.73,785.14,9.490804187788164
cotton,39.34,19.53,66.89,465.38,1150.66,16.097231154294054
watermelon,66.31,28.01,63.88,457.77,2981.03,21.446560417037063
orange,65.31,12.94,90.7,424.21,384.26,13.755582157913912
orange,57.61,13.33,55.11,367.15,4866.47,14.183477962465606
banana,52.97,35.66,53.39,346.49,1406.25,15.624967111111111
lentil,78.96,23.12,73.7,226.14,1677.92,14.180050300371889
apple,27.37,35.34,39.14,470.24,613.53,13.501458771372224
lentil,66.52,20.68,43.01,77.1,4081.06,13.024692114303638
orange,132.19,21.67,36.75,51.84,482.95,12.240563205300756
muskmelon,125.7,22.07,88.13,473.63,3166.21,19.19174028254601
cotton,30.54,22.3,70.68,248.03,4620.91,15.5465979644702
mango,28.03,39.95,46.74,409.98,4156.65,15.03989751362275
maize,140.16,15.01,58.93,288.0,3950.31,13.90776673223114
apple,99.03,27.92,65.62,91.64,1127.3,13.424341346580324
rice,44.11,36.53,33.0,376.94,1461.04,11.565597108908722
grapes,69.03,35.1,94.96,156.09,2422.11,12.614794538646056
watermelon,108.21,19.31,39.75,134.15,984.39,13.10930627088857
chickpea,139.26,38.43,53.52,66.68,3295.28,7.0827243815396566
maize,55.96,34.79,79.99,366.83,4492.97,13.082326389893543
rice,54.67,16.89,63.08,215.09,3524.29,11.626943299217714
coffee,101.45,33.02,73.27,328.34,2415.05,13.4131136001325
coconut,123.02,16.54,84.68,206.61,2109.71,11.537964933569068
grapes,53.84,37.77,82.03,266.72,3910.41,11.326114141483886
coconut,97.15,29.43,91.52,218.68,1558.34,12.550990156191846
rice,112.62,32.76,68.25,129.44,1873.54,8.91244916041291
chickpea,122.24,25.47,94.65,244.1,3913.78,15.373178870554808
lentil,53.49,17.23,62.69,348.41,2272.84,14.935943577198572
grapes,99.27,12.92,66.74,437.12,2736.72,15.940373878219182
orange,35.56,13.34,80.54,219.83,109.11,8.959215470625974
muskmelon,21.03,28.6,61.66,331.74,3941.01,13.72987888891426
muskmelon,44.72,16.35,34.06,217.66,2697.37,11.541972365674711
muskmelon,96.72,36.68,62.27,314.38,1447.41,12.945240118556594
rice,87.44,21.54,69.1,266.28,546.99,14.043126931022504
jute,90.42,16.53,80.69,84.34,1156.03,7.854277138136554
orange,80.15,21.2,32.06,230.26,4466.37,11.057294850180348
banana,146.22,11.53,41.37,478.17,1718.06,13.759245893624204
banana,22.55,11.47,72.67,450.68,1192.89,16.321697725691386
grapes,101.59,22.46,82.66,495.8,4249.14,17.39312425573175
coffee,55.52,10.55,57.82,86.19,563.46,7.610655592233699
jute,89.72,12.58,84.75,429.68,4964.49,14.85746370724888
apple,92.15,10.76,59.18,50.45,185.07,7.284919219754688
chickpea,100.02,39.12,83.58,53.59,1374.38,6.899940336733653
coconut,138.02,37.15,65.83,469.66,3502.12,13.949787557251035
orange,22.41,29.74,72.18,324.75,1554.59,14.723110273448306
coffee,92.46,25.61,51.41,103.07,3468.26,8.930270510284695
watermelon,134.37,30.4,37.23,183.71,2460.76,11.061281880394674
apple,122.02,25.6,55.41,475.67,3787.38,19.019768283087515
grapes,105.15,38.67,82.11,163.59,1880.91,11.007512321163691
coconut,114.98,32.7,69.35,186.71,702.81,12.449082966946971
apple,109.93,27.33,63.39,407.64,3444.67,17.667344041664368
cotton,72.53,23.51,70.32,308.97,2091.39,15.537106900195566
mango,54.5,20.67,52.31,282.6,1589.31,13.830379221171452
banana,32.7,13.6,81.93,377.62,497.42,14.630613968075268
cotton,148.51,37.48,64.84,363.23,103.19,12.298575443356912
banana,139.84,36.72,72.87,476.23,2205.14,13.257765946833308
banana,98.14,20.12,48.8,123.4,1265.04,11.638209068487951
rice,148.43,34.68,83.83,196.08,2002.95,14.59786814448688
lentil,137.6,11.16,37.53,371.89,3598.32,11.52608439493986
mango,54.24,27.69,59.61,364.65,889.73,17.137322558528993
mango,103.92,18.11,48.06,480.72,603.53,16.408181863370505
muskmelon,107.36,18.17,37.97,250.4,4682.79,11.045641594006993
banana,131.52,22.28,74.67,447.28,482.86,18.17903740214555
maize,121.83,30.47,93.46,278.43,4473.74,12.268299007094736
banana,91.43,18.88,73.38,293.07,480.68,11.87586336023966
cotton,20.82,34.35,48.23,229.2,4557.47,11.49448707287157
rice,132.4,20.65,68.7,417.15,4923.24,18.23967752943184
watermelon,48.34,12.7,31.71,230.94,3724.77,8.845083052107915
apple,63.4,25.01,76.21,325.97,1605.46,16.731148705044035
jute,94.66,24.89,42.92,197.45,2979.59,12.813605227564866
cotton,29.6,19.49,45.03,286.23,2763.36,15.176488043541196
apple,50.95,26.58,63.15,165.26,4000.06,13.55915161272581
coffee,106.66,35.92,65.7,230.94,4986.51,12.658781392196143
jute,127.85,22.78,63.33,322.5,4646.13,14.79492179512842
grapes,36.95,11.96,32.57,357.92,3931.81,13.82411408486168
mango,104.95,35.49,59.88,122.67,1476.92,9.413055548032393
muskmelon,59.08,18.19,32.65,216.32,2100.71,10.992159793593595
jute,33.66,20.26,83.51,325.62,3556.52,16.56959893378921
mango,45.75,35.64,75.88,129.03,526.67,11.325042246568062
chickpea,147.33,33.45,91.26,454.93,4272.59,13.477614280799234
lentil,79.33,17.37,68.44,55.89,3140.01,8.61915726383037
apple,109.12,10.43,88.68,189.34,1270.42,8.668645015034397
muskmelon,106.09,19.03,58.08,261.58,744.87,12.458804892128828
orange,43.31,31.21,51.28,469.05,2107.96,14.324066870339095
banana,80.42,22.09,71.39,436.51,4728.72,19.40906630124008
jute,86.73,29.02,89.5,348.03,4594.04,16.27236811172737
orange,122.79,21.45,75.49,433.89,1330.84,17.132547864506627
orange,73.01,17.64,57.11,426.28,1008.67,13.526029325745784
coconut,64.1,13.66,84.56,123.5,3660.09,10.970156471562175
rice,122.78,33.25,38.62,70.46,4666.15,10.060098796652488
jute,48.38,22.14,83.07,235.46,1839.26,13.228961647619151
muskmelon,109.98,13.89,70.06,450.08,1102.63,14.798010211947796
apple,99.16,14.02,61.07,221.89,447.92,9.729974102518309
maize,59.05,12.32,89.5,169.49,3280.33,8.677986665975679
coffee,34.99,29.53,45.8,59.5,2269.34,12.06979121682956
chickpea,94.67,22.62,57.43,336.07,4623.78,15.026123647751408
muskmelon,68.65,15.54,47.96,298.09,1943.26,12.697395098957422
watermelon,29.05,36.94,59.62,269.56,451.71,10.411923579287595
chickpea,106.76,17.08,89.26,353.74,405.2,12.934526159921026
watermelon,72.25,13.71,35.38,403.35,2527.84,14.984377966959933
rice,127.57,13.11,57.95,203.08,913.31,10.10925096626556
cotton,122.16,11.14,58.7,360.91,2860.13,12.760898980116288
grapes,145.0,34.34,89.04,253.93,3537.43,10.824830456009025
cotton,121.77,27.94,37.09,353.81,1733.93,16.876286816653497
grapes,136.53,23.4,40.31,480.84,3887.81,17.162312458684966
watermelon,94.93,13.88,36.21,85.91,552.62,7.535829322138178
jute,111.23,33.67,33.15,121.93,4527.38,10.612890899372262
banana,114.61,13.08,63.7,122.93,2396.93,10.071579061549564
mango,88.59,20.72,49.14,167.71,2074.85,12.963366026459743
cotton,25.29,28.46,43.53,338.33,222.04,15.456539362277066
watermelon,80.0,22.38,42.86,280.51,2248.42,14.38614671636082
lentil,50.0,15.99,43.89,162.81,686.89,11.499192010365562
banana,82.13,12.13,69.37,444.62,1172.21,15.339393112155673
apple,34.15,38.01,35.41,288.97,1730.17,12.226365039273595
maize,109.2,16.08,55.58,307.17,2054.49,16.169847504733536
lentil,62.86,34.16,50.76,291.39,3336.59,11.196877650535429
chickpea,40.06,32.77,52.17,463.69,2282.48,14.973287827275596
lentil,37.26,21.61,49.38,470.51,3102.93,15.769601634584088
coconut,136.71,29.59,85.62,489.33,1286.13,17.159618390053883
chickpea,30.97,26.38,51.42,416.27,936.65,15.602327443548818
watermelon,29.61,22.75,85.32,489.03,291.54,17.224497496055427
apple,30.87,12.75,59.75,109.85,3231.66,9.790643198851363
grapes,100.84,24.47,80.4,485.09,465.21,18.854366845080715
lentil,47.56,19.0,85.54,483.66,1664.25,15.229286465374791
banana,76.59,37.39,39.88,51.82,156.77,6.401288511832621
maize,135.53,15.48,90.02,317.11,639.64,13.69629791757864
banana,29.6,39.86,73.44,160.85,1903.06,7.015769339905206
lentil,132.84,34.68,31.92,242.3,2479.71,9.339067874872464
muskmelon,44.37,16.79,56.49,375.76,3041.0,14.717859256823417
grapes,82.28,16.14,52.53,397.68,768.12,13.966281310211947
watermelon,28.79,13.69,52.53,488.58,671.27,16.535730778971207
chickpea,39.94,38.11,33.19,342.62,2030.12,12.060001379228815
banana,40.24,22.16,91.22,197.28,2747.97,16.328016681404822
muskmelon,122.26,37.14,37.53,298.81,3970.81,13.79256877060348
lentil,69.25,21.74,69.92,149.17,2513.68,11.64074186053913
jute,118.84,20.58,46.37,86.99,3580.48,11.093833787648585
maize,89.2,30.13,93.71,271.25,2960.24,14.8997851525552
rice,22.0,15.58,53.03,264.23,4911.66,11.875282491051903
cotton,35.78,27.17,49.3,429.92,3383.06,16.949885606521907
coffee,124.09,38.88,95.0,265.93,4077.71,13.852713900694262
banana,58.53,15.72,71.36,457.44,4829.87,14.682765788727234
apple,137.83,33.1,90.9,163.78,4505.62,10.49382548905589
cotton,112.09,25.56,38.63,348.77,3507.87,16.683734003825684
apple,111.62,18.64,78.13,111.67,4416.76,14.998877004863294
coconut,71.16,22.93,64.47,451.46,4991.81,17.38537524465074
lentil,51.3,38.23,85.52,367.87,2798.83,10.577998663727344
mango,116.86,14.24,71.35,67.16,1465.79,9.757741559159223
cotton,115.36,24.23,68.09,214.24,2362.56,15.400358086143845
rice,106.06,17.35,84.17,460.17,586.62,14.165490436739288
coconut,53.19,30.87,48.3,344.49,1398.18,15.537606030697049
apple,95.73,27.32,90.65,235.73,3732.79,12.898620067027611
lentil,130.75,21.48,50.91,308.95,2618.28,17.667659684984034
maize,59.68,23.35,84.89,390.1,247.08,15.095475149749069
apple,100.45,34.07,82.29,90.74,1595.95,11.765074093799932
lentil,131.61,28.86,63.99,329.07,1686.87,17.59869462377065
cotton,142.2,22.11,81.78,104.28,2878.07,14.61526995521304
watermelon,49.63,32.6,79.58,189.5,4220.44,11.068201419757182
coffee,48.87,11.08,92.24,385.82,2715.21,12.982458078748971
maize,126.02,37.53,93.81,291.24,2486.56,10.751805707483433
grapes,51.07,12.26,61.25,115.14,2307.73,7.445745386158693
lentil,117.87,38.45,91.68,457.29,1743.37,15.651760670425672
coffee,143.3,15.65,33.67,422.78,2326.29,13.585662148743278
watermelon,117.63,24.49,56.01,439.19,4219.63,17.669042072409194
coconut,121.56,31.92,61.59,347.26,238.31,12.56363560068818
lentil,121.77,17.5,41.86,188.0,2147.25,10.601136337175458
apple,124.51,39.72,78.6,88.36,275.33,6.303454036973814
maize,94.21,31.86,91.45,149.44,4764.63,12.044616266110904
muskmelon,122.33,15.62,89.79,395.96,3423.01,13.386212719214958
jute,121.11,13.66,32.65,250.45,4151.45,13.994447723084706
apple,93.04,35.69,87.13,350.7,3470.79,11.558385842992518
jute,58.82,27.72,92.04,346.07,2762.36,14.452591262543622
cotton,29.29,25.27,81.43,152.8,782.95,13.48658279583626
muskmelon,101.85,38.71,69.08,329.32,1356.56,14.315953588488531
maize,73.48,35.11,84.66,453.32,533.36,14.276773661316934
chickpea,46.11,38.37,75.78,285.89,3907.12,13.069747025942382
apple,84.81,38.69,58.85,239.93,3095.46,11.57799486990625
watermelon,121.16,18.14,60.26,468.85,2143.93,15.235856581138378
chickpea,101.55,34.64,65.91,59.42,2766.14,7.79142776576746
rice,22.91,18.92,43.29,406.84,1872.54,17.159916477084604
cotton,56.23,19.85,65.03,193.01,3892.35,11.02503371998921
apple,35.72,34.23,89.48,493.55,4508.29,18.103964030707875
mango,118.27,12.91,63.85,299.46,1992.73,13.263191701836174
watermelon,146.55,24.02,67.17,152.95,101.53,13.75869201221314
lentil,70.16,31.79,64.32,107.73,3948.15,12.27752238390132
muskmelon,110.02,34.41,87.29,482.43,4736.18,17.540904273063948
maize,139.83,38.75,85.1,236.06,2803.83,9.034181815587964
rice,61.64,26.56,66.05,439.88,221.89,14.423543197079637
mango,143.24,15.82,76.71,209.44,245.57,11.476238954269656
rice,46.92,38.93,48.13,431.81,1146.63,12.563189520595134
watermelon,36.45,29.93,36.4,125.99,4007.42,12.402091620044816
coffee,120.33,16.41,36.65,221.25,4552.88,11.66016016235877
apple,121.96,18.39,40.37,302.03,3174.01,15.332579292440792
chickpea,118.06,33.65,78.56,101.02,1943.79,9.451921246636726
muskmelon,43.87,23.88,88.86,265.82,1410.38,16.087749400870685
apple,93.02,31.96,44.22,114.45,339.12,13.167492333097428
watermelon,73.46,12.24,42.33,442.76,1026.47,16.420314280982396
banana,35.04,30.87,35.35,250.02,1420.81,15.108191806082443
mango,71.62,39.97,82.58,259.7,2773.48,10.398946449947358
maize,26.42,19.39,32.59,175.38,2506.37,10.542653319342316
maize,136.31,38.93,56.22,164.67,2054.14,9.228129533527412
grapes,67.91,29.34,45.68,190.42,4870.14,13.684584016065244
chickpea,66.73,29.09,50.41,350.94,1838.3,17.155431648805962
apple,39.07,26.99,42.13,261.67,4088.73,15.22580116564312
maize,139.28,38.18,58.07,407.94,1155.87,12.711308365127568
coffee,112.38,30.71,35.49,244.12,1571.48,11.428455977804363
lentil,93.28,33.45,33.22,337.11,3886.94,14.017015955996234
coconut,48.15,23.23,71.22,241.17,2773.71,13.782720616070172
watermelon,141.59,18.85,81.05,144.95,4349.43,11.48391858243494
rice,118.58,14.26,62.65,377.56,3781.53,12.82135273288854
banana,105.44,18.33,91.17,205.97,3836.17,13.575381174452644
coconut,147.88,16.33,55.31,152.29,4659.71,11.433778067733828
banana,135.85,10.81,40.33,345.43,896.78,11.454046700417049
maize,40.47,13.3,89.43,62.62,611.65,6.950772500613096
lentil,39.48,32.76,37.87,151.87,2890.09,11.129335072610196
orange,118.77,24.75,89.01,149.6,4091.42,15.558703335272352
cotton,54.09,18.99,69.98,417.83,2458.37,15.63216684225727
banana,89.24,22.68,78.13,127.45,4028.91,14.401858070793342
rice,31.19,13.96,78.07,284.26,3489.63,10.889759086206848
maize,96.43,21.64,87.9,204.93,2875.42,12.103011038387434
orange,57.34,36.59,68.76,191.3,276.3,11.028954035468692
apple,118.14,39.92,42.07,393.28,2344.74,12.41165758250382
maize,101.72,25.26,88.43,150.52,22.79,13.893813075910488
watermelon,118.97,39.26,53.59,147.55,1484.3,9.288034763861752
banana,78.65,24.76,58.87,200.21,3109.42,18.78334223102701
orange,85.79,16.34,81.09,417.51,4754.11,16.23673200662164
jute,77.24,38.54,84.06,306.25,3819.02,11.884703405585723
orange,65.04,14.29,52.75,431.33,1343.34,17.587081453690057
muskmelon,64.26,26.27,88.4,107.07,2545.73,14.000361389463926
mango,62.97,10.85,60.35,132.09,3050.35,6.818115953906929
apple,84.54,12.43,68.85,81.29,4373.52,9.451258940167186
maize,90.36,30.84,77.22,53.39,3188.36,12.383256595867469
grapes,35.53,32.63,50.59,116.32,4448.54,11.542926443282514
cotton,55.32,24.36,40.18,139.65,1521.94,12.855046848101765
orange,85.33,13.62,66.35,443.44,1067.12,15.455281505360222
maize,57.69,37.28,33.09,465.69,2702.13,13.40713067098918
coconut,40.4,18.01,94.45,286.83,97.29,11.671805941001129
watermelon,58.24,24.83,72.45,211.48,571.71,15.298507984817476
apple,84.46,39.57,33.0,198.22,4517.64,8.24608866576354
lentil,28.23,29.91,86.21,450.35,3750.86,17.64960302437308
chickpea,41.01,14.75,92.01,274.83,1626.72,11.066133077604013
mango,47.17,34.34,52.81,337.61,4265.12,11.340836834602545
lentil,68.57,17.28,39.0,494.62,2489.27,17.19085515030511
coffee,137.98,39.11,65.66,166.37,3376.27,8.342371907460008
coconut,36.69,22.09,61.77,151.22,2734.11,13.520432608783112
coconut,126.39,23.17,84.76,492.68,2923.97,20.750178695403854
coffee,131.36,27.38,67.77,276.22,917.26,13.18531277936463
maize,110.61,36.24,79.05,480.16,3609.5,12.302177586923396
banana,106.01,22.81,71.81,100.48,1548.35,13.377879678367297
muskmelon,141.38,19.73,73.08,200.32,3805.64,13.36842160582714
apple,61.99,12.12,69.8,208.8,3610.23,10.993798179063385
orange,80.25,34.28,44.94,326.36,2995.0,13.161419031719532
rice,97.05,32.09,48.73,156.59,3726.74,10.816909685140365
mango,31.37,12.27,63.69,309.27,1238.12,9.135770361515847
grapes,89.56,16.43,68.2,446.23,4749.61,16.58030027728593
mango,32.57,28.57,60.84,372.08,1510.72,14.026431105697943
muskmelon,115.22,11.4,31.11,405.4,518.38,9.431459547050428
maize,146.72,33.73,61.4,379.7,3247.7,13.287822151060752
coffee,77.35,29.05,43.15,104.58,4549.01,12.450889314378292
rice,94.15,18.12,48.58,363.65,1646.88,12.695223695715534
apple,106.91,37.62,54.26,78.11,2349.76,9.030330757183712
cotton,110.82,36.64,51.69,58.73,4276.02,9.214744084452365
coconut,38.4,34.25,32.4,267.92,1183.5,10.450730882974227
coconut,87.69,24.02,83.3,187.64,2884.93,15.424942719580718
banana,112.48,22.29,40.65,50.14,2761.87,12.40682581004899
muskmelon,54.43,32.28,77.3,489.83,3144.55,16.11011432478415
chickpea,129.56,31.5,39.48,330.51,1025.51,15.10554748369104
lentil,65.0,10.19,48.85,233.18,3652.08,9.390235153665856
jute,134.54,20.43,84.69,272.77,646.29,17.36697148338981
banana,70.36,23.59,58.55,213.26,3321.02,13.551562471770724
muskmelon,106.48,13.27,52.86,258.67,3207.42,11.423807920384608
chickpea,88.53,33.61,70.18,214.63,239.37,11.536700505493586
rice,126.37,36.13,31.33,430.63,3352.69,12.511460946284924
jute,92.14,29.59,94.42,238.03,4495.51,13.136173648818488
apple,61.36,16.97,57.27,391.89,2243.89,13.765206850603194
apple,104.97,25.1,94.75,257.92,2670.82,13.813510457462504
orange,102.87,30.59,67.62,384.72,1713.54,15.353274507744205
mango,119.35,22.99,45.37,241.87,194.62,17.07280854999486
coconut,125.75,28.37,71.77,357.0,401.53,14.936667247777256
orange,86.01,24.67,78.74,93.88,3842.73,14.012941320363389
apple,94.91,24.01,34.22,117.0,2447.71,14.426353612151766
muskmelon,85.98,32.88,52.59,249.45,2177.49,15.887884674556489
banana,72.05,22.88,30.07,373.58,2117.24,18.394726152916064
maize,84.37,32.65,47.22,377.85,627.62,13.35626653070329
mango,136.52,10.98,32.66,366.15,2361.3,8.90349807309533
coffee,117.36,30.39,35.77,90.07,4417.73,9.59276370443644
mango,125.52,26.45,48.83,159.14,1203.06,16.71054643991156
cotton,123.04,32.77,63.17,182.14,642.38,12.774697219714186
cotton,105.28,36.07,34.64,267.27,2850.66,11.60660689103576
banana,51.45,37.32,50.24,433.59,1842.35,15.772866176350856
cotton,121.79,25.17,48.66,477.08,1516.06,17.630964473701567
chickpea,70.87,21.67,43.41,410.45,4624.41,19.036179750497904
coffee,100.76,37.76,75.17,81.52,2330.69,8.737043536463451
muskmelon,93.09,36.43,76.62,239.39,3698.32,11.846954833546045
cotton,92.54,26.57,55.0,137.61,3220.05,13.78234499464294
banana,138.15,24.1,78.19,400.16,1635.47,18.24297602524045
cotton,138.03,25.48,40.69,333.0,1418.06,17.245708926279566
lentil,53.35,39.22,49.41,243.74,3590.16,9.803320743365198
mango,120.96,13.77,39.45,191.07,898.41,11.104751728052896
mango,92.7,14.43,90.97,379.6,451.14,13.31564481092344
lentil,139.19,22.76,79.32,444.96,176.74,15.49705782505375
coffee,96.57,11.23,62.26,439.76,3072.9,15.04006964105568
chickpea,112.87,28.7,47.5,130.79,1209.48,12.250355524688295
maize,75.95,19.02,85.6,297.42,3490.03,17.30689134477354
apple,54.71,32.1,75.86,486.54,1083.17,17.89214066120738
muskmelon,85.02,13.49,66.7,122.18,4395.33,12.204441987291055
watermelon,64.06,24.9,91.58,95.26,1941.22,12.8744449366893
orange,20.69,18.96,36.99,143.04,3046.09,15.111808909126124
watermelon,70.99,24.43,41.84,396.6,1369.34,16.546774358450058
watermelon,120.31,37.84,41.16,315.87,2968.85,11.521612745675936
grapes,88.97,38.19,56.46,166.5,1238.63,8.504347545271791
cotton,34.3,14.79,79.85,439.58,2140.22,14.402122211735245
apple,109.82,36.66,90.84,288.28,3424.94,10.715957067861044
watermelon,33.64,18.91,57.61,428.16,3328.81,13.82773423535738
maize,127.48,18.98,31.77,70.85,1279.9,10.400757871708729
maize,82.35,31.03,37.76,227.07,1067.44,13.998950760698492
jute,27.56,14.49,65.85,472.91,2536.08,15.175424276836692
apple,104.95,19.2,75.38,372.25,155.69,15.130001926906033
apple,94.78,17.35,56.53,190.59,3692.7,13.41075364909145
apple,141.64,30.44,53.28,69.24,2697.04,5.721324118292647
lentil,54.81,12.46,33.65,84.32,141.77,8.864005078648516
chickpea,23.89,10.02,58.46,464.87,868.55,14.634240976339877
watermelon,120.74,19.68,93.24,224.78,171.92,15.424906933457423
muskmelon,81.89,18.72,46.05,317.62,3283.59,14.083691934742156
orange,66.97,27.01,66.24,227.35,1723.04,10.719321664035656
apple,130.14,25.63,86.01,387.05,1138.71,16.742322452599872
watermelon,21.87,29.47,53.85,401.0,1145.5,17.01711916193802
banana,22.89,21.72,30.92,321.28,1138.35,15.315623490139238
chickpea,35.29,39.97,69.52,276.36,4777.09,12.473378144435207
coffee,88.07,31.49,84.74,318.44,4550.16,14.97524922200538
coffee,141.13,30.4,63.25,447.69,3051.7,15.570737621653508
orange,74.57,18.97,44.71,58.53,1022.38,9.401034840274654
jute,135.05,24.08,67.9,287.09,1580.43,17.68497813886094
grapes,31.81,15.92,33.32,322.88,1642.38,13.380362644454998
grapes,33.37,16.73,78.93,455.33,4460.62,17.235561424196636
muskmelon,52.35,19.68,50.39,456.38,2986.1,16.975131442349554
mango,96.1,30.09,63.67,363.43,2315.75,18.39553060563532
watermelon,122.49,16.42,52.13,123.21,4131.37,10.219537344754889
apple,94.34,17.07,80.41,230.7,1513.26,13.691910180669549
lentil,125.2,24.33,72.16,481.38,4842.17,18.878542058622475
chickpea,117.2,30.17,40.18,115.07,2799.41,9.933564572534928
jute,29.34,21.87,80.73,260.68,3405.15,15.51474678061172
chickpea,107.94,14.33,89.18,490.36,1560.51,14.380945972790949
watermelon,137.04,20.37,37.1,337.95,4207.03,15.779761494450954
banana,47.84,38.3,66.26,483.61,467.73,16.79037051290274
lentil,129.4,37.75,52.98,261.6,3741.27,11.55601974730506
chickpea,26.93,37.74,77.91,144.42,3402.94,9.26736586598647
maize,58.74,11.16,69.99,455.25,159.4,14.047427854454202
chickpea,95.83,26.13,80.47,494.78,4678.65,18.14501619056779
chickpea,75.43,12.41,67.12,210.63,679.25,12.038218623481782
banana,95.51,34.31,42.2,166.69,1090.03,11.100712824417675
jute,90.87,36.5,51.55,162.6,1245.37,8.52769056585593
orange,70.79,23.46,75.09,174.3,4189.33,14.829228062721247
maize,112.76,22.5,50.4,395.08,36.85,17.428493894165534
coffee,113.2,24.73,86.53,329.92,4858.15,18.418120066280377
banana,48.41,32.16,77.77,381.47,3927.51,16.05237160440075
coconut,107.35,13.17,90.93,368.92,4289.22,10.11535896969612
coffee,127.01,27.31,34.22,442.56,2735.33,17.31069011782856
banana,132.61,26.87,43.15,402.52,941.22,17.897558487919934
